Airline_Name,Stops,departure,arrival,arrival_time,Flight_duration,No_of_stops,return_departure,return_arrival,return_duration,flight_Score,Cheapest_Price,Cheapest_Website
,,,,,,,,,,,,
WOW air,1 stop,BOS 7:00 PM,CDG,11:30 AM,10h 30m,1 stop,CDG 12:35 PM,BOS 5:30 PM,10h 55m,FlyScore: 5.9,$400 ,Orbitz
WOW air,1 stop,BOS 7:00 PM,CDG,5:25 PM,16h 25m,1 stop,CDG 12:35 PM,BOS 5:30 PM,10h 55m,FlyScore: 5.7,$400 ,CheapTickets
,2 stops,,,11:30 AM,16h 30m,2 stops,,,4h 55m,,,
WOW air,1 stop,BOS 7:00 PM,CDG,11:30 AM,10h 30m,1 stop,CDG 6:30 PM,BOS,29h 0m,FlyScore: 5.2,$430 ,CheapTickets
Delta,Nonstop,BOS 7:03 PM,CDG,8:15 AM,7h 12m,Nonstop,CDG 10:15 AM,BOS 12:13 PM,7h 58m,FlyScore: 8.6,See Price,
WOW air,1 stop,BOS 7:00 PM,CDG,5:25 PM,16h 25m,1 stop,CDG 6:30 PM,BOS,29h 0m,FlyScore: 5.0,$430 ,CheapTickets
Icelandair,1 stop,BOS 9:30 PM,CDG,6:20 AM,26h 50m,1 stop,2:00 PM,BOS 6:35 PM,10h 35m,FlyScore: 7.0,$502 ,CheapTickets
Icelandair,1 stop,BOS 9:30 PM,CDG,6:20 AM,26h 50m,1 stop,2:00 PM,BOS,28h 0m,FlyScore: 6.2,$502 ,CheapTickets
,,,,,,,,,,,,
Icelandair,1 stop,BOS 9:30 PM,CDG,6:20 AM,26h 50m,1 stop,CDG 8:00 AM,BOS 12:00 PM,10h 0m,FlyScore: 6.9,$504 ,CheapTickets
Icelandair,1 stop,BOS 9:30 PM,CDG,6:20 AM,26h 50m,1 stop,CDG 8:00 AM,BOS 6:35 PM,16h 35m,FlyScore: 6.7,$504 ,Orbitz
British Airways,1 stop,BOS 9:30 PM,CDG,1:15 PM,9h 45m,1 stop,CDG 1:05 PM,BOS 6:25 PM,11h 20m,FlyScore: 7.4,$506 ,Student Universe
British Airways,1 stop,BOS 7:20 PM,CDG,11:15 AM,9h 55m,1 stop,CDG 1:05 PM,BOS 6:25 PM,11h 20m,FlyScore: 7.2,$506 ,Student Universe
British Airways,1 stop,BOS 10:40 PM,CDG,3:45 PM,11h 5m,1 stop,CDG 1:05 PM,BOS 6:25 PM,11h 20m,FlyScore: 7.3,$506 ,Student Universe
Icelandair,1 stop,BOS 9:30 PM,CDG,12:55 PM,9h 25m,1 stop,2:00 PM,BOS 6:35 PM,10h 35m,FlyScore: 7.7,$542 ,CheapOair
Icelandair,1 stop,BOS 9:30 PM,CDG,12:55 PM,9h 25m,1 stop,2:00 PM,BOS,28h 0m,FlyScore: 6.9,$542 ,CheapTickets
