Hotel_Name,Hotel_Web_Link,Cheapest_Provider,Price,Review_Count,Distance,Amenities_1,Amenities_2
Hospitel-Hotel Dieu Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d472020-Reviews-Hospitel_Hotel_Dieu_Paris-Paris_Ile_de_France.html,Expedia.com,$146 ,205 reviews,0.2 miles,Free Wifi,Room Service
Hotel le Notre Dame,https://www.tripadvisor.com/Hotel_Review-g187147-d302993-Reviews-Hotel_le_Notre_Dame-Paris_Ile_de_France.html,Official Site,$161 ,934 reviews,0.3 miles,Free Wifi,Bar/Lounge
Hotel de Lutece,https://www.tripadvisor.com/Hotel_Review-g187147-d219994-Reviews-Hotel_de_Lutece-Paris_Ile_de_France.html,Orbitz.com,$145 ,358 reviews,0.4 miles,Free Wifi,
Hotel du Levant,https://www.tripadvisor.com/Hotel_Review-g187147-d319955-Reviews-Hotel_du_Levant-Paris_Ile_de_France.html,Booking.com,$201 ,"1,230 reviews",0.4 miles,Free Wifi,Breakfast included
Hotel des Deux Iles,https://www.tripadvisor.com/Hotel_Review-g187147-d194270-Reviews-Hotel_des_Deux_Iles-Paris_Ile_de_France.html,Agoda.com,$151 ,210 reviews,0.4 miles,Free Wifi,Room Service
Hotel du Jeu de Paume,https://www.tripadvisor.com/Hotel_Review-g187147-d194304-Reviews-Hotel_du_Jeu_de_Paume-Paris_Ile_de_France.html,Expedia.com,$225 ,484 reviews,0.5 miles,Free Wifi,Bar/Lounge
Les Bains,https://www.tripadvisor.com/Hotel_Review-g187147-d7740508-Reviews-Les_Bains-Paris_Ile_de_France.html,Booking.com,$291 ,263 reviews,0.5 miles,Free Wifi,Pool
Hotel Emile,https://www.tripadvisor.com/Hotel_Review-g187147-d568921-Reviews-Hotel_Emile-Paris_Ile_de_France.html,Official Site,$116 ,257 reviews,0.5 miles,Free Wifi,
Hotel Bellevue et du Chariot d'Or,https://www.tripadvisor.com/Hotel_Review-g187147-d506359-Reviews-Hotel_Bellevue_et_du_Chariot_d_Or-Paris_Ile_de_France.html,Booking.com,$97 ,178 reviews,0.6 miles,Free Wifi,
Hotel Jules & Jim,https://www.tripadvisor.com/Hotel_Review-g187147-d2432527-Reviews-Hotel_Jules_Jim-Paris_Ile_de_France.html,Travelocity,$199 ,367 reviews,0.6 miles,Free Wifi,Room Service
Hotel de Roubaix,https://www.tripadvisor.com/Hotel_Review-g187147-d506893-Reviews-Hotel_de_Roubaix-Paris_Ile_de_France.html,Booking.com,$75 ,649 reviews,0.6 miles,Free Wifi,
Pratic Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d565827-Reviews-Pratic_Hotel-Paris_Ile_de_France.html,Booking.com,$89 ,264 reviews,0.6 miles,Free Wifi,
Hotel du Haut Marais,https://www.tripadvisor.com/Hotel_Review-g187147-d2186989-Reviews-Hotel_du_Haut_Marais-Paris_Ile_de_France.html,Booking.com,$174 ,51 reviews,0.6 miles,Free Wifi,
Hotel National Des Arts et Metiers,https://www.tripadvisor.com/Hotel_Review-g187147-d12456055-Reviews-Hotel_National_Des_Arts_et_Metiers-Paris_Ile_de_France.html,Hotels.com,$226 ,61 reviews,0.6 miles,,
Hotel du Petit Moulin,https://www.tripadvisor.com/Hotel_Review-g187147-d548458-Reviews-Hotel_du_Petit_Moulin-Paris_Ile_de_France.html,Orbitz.com,$228 ,453 reviews,0.7 miles,Free Wifi,Room Service
Hotel Saint-Louis Saintonge,https://www.tripadvisor.com/Hotel_Review-g187147-d248398-Reviews-Hotel_Saint_Louis_Saintonge-Paris_Ile_de_France.html,Booking.com,$161 ,186 reviews,0.7 miles,Free Wifi,
Hotel Edgar,https://www.tripadvisor.com/Hotel_Review-g187147-d3998722-Reviews-Hotel_Edgar-Paris_Ile_de_France.html,Orbitz.com,$118 ,156 reviews,0.7 miles,Free Wifi,Restaurant
Hotel Jacques de Molay,https://www.tripadvisor.com/Hotel_Review-g187147-d275021-Reviews-Hotel_Jacques_de_Molay-Paris_Ile_de_France.html,Hotels.com,$131 ,130 reviews,0.7 miles,Free Wifi,Room Service
Les Tournelles,https://www.tripadvisor.com/Hotel_Review-g187147-d219989-Reviews-Les_Tournelles-Paris_Ile_de_France.html,Hotwire.com,$156 ,245 reviews,0.7 miles,Free Wifi,Bar/Lounge
Austin's Arts et Metiers Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d296785-Reviews-Austin_s_Arts_et_Metiers_Hotel-Paris_Ile_de_France.html,Orbitz.com,$126 ,377 reviews,0.7 miles,Free Wifi,
La Chambre du Marais,https://www.tripadvisor.com/Hotel_Review-g187147-d10319445-Reviews-La_Chambre_du_Marais-Paris_Ile_de_France.html,Official Site,$157 ,225 reviews,0.7 miles,Free Wifi,Room Service
Little Palace Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d228719-Reviews-Little_Palace_Hotel-Paris_Ile_de_France.html,Agoda.com,$134 ,248 reviews,0.7 miles,Free Wifi,Bar/Lounge
Le Pavillon de la Reine,https://www.tripadvisor.com/Hotel_Review-g187147-d188738-Reviews-Le_Pavillon_de_la_Reine-Paris_Ile_de_France.html,Expedia.com,$470 ,832 reviews,0.8 miles,Free Wifi,Room Service
Hotel des Fontaines,https://www.tripadvisor.com/Hotel_Review-g187147-d620131-Reviews-Hotel_des_Fontaines-Paris_Ile_de_France.html,Booking.com,$73 ,50 reviews,0.8 miles,,
Hotel Picard,https://www.tripadvisor.com/Hotel_Review-g187147-d616466-Reviews-Hotel_Picard-Paris_Ile_de_France.html,Expedia.com,$67 ,136 reviews,0.8 miles,Free Wifi,
Le Relais du Marais,https://www.tripadvisor.com/Hotel_Review-g187147-d276938-Reviews-Le_Relais_du_Marais-Paris_Ile_de_France.html,Expedia.com,$102 ,236 reviews,0.8 miles,Free Wifi,
Hotel du Plat d'Etain,https://www.tripadvisor.com/Hotel_Review-g187147-d248396-Reviews-Hotel_du_Plat_d_Etain-Paris_Ile_de_France.html,Hotels.com,$74 ,403 reviews,0.8 miles,Free Wifi,
