Name,Web_link,No_of_reviews,Ranking,No_of_bookingoptions
Eiffel Tower,https://www.tripadvisor.com/Attraction_Review-g187147-d188151-Reviews-Eiffel_Tower-Paris_Ile_de_France.html,"112,675 reviews",#1 of 576 Sights & Landmarks in Paris,186 booking options
Louvre Museum,https://www.tripadvisor.com/Attraction_Review-g187147-d188757-Reviews-Louvre_Museum-Paris_Ile_de_France.html,"80,364 reviews",#2 of 576 Sights & Landmarks in Paris,180 booking options
Notre Dame Cathedral,https://www.tripadvisor.com/Attraction_Review-g187147-d188679-Reviews-Notre_Dame_Cathedral-Paris_Ile_de_France.html,"58,074 reviews",#3 of 576 Sights & Landmarks in Paris,155 booking options
Basilica du Sacre-Coeur de Montmartre,https://www.tripadvisor.com/Attraction_Review-g187147-d190685-Reviews-Basilica_du_Sacre_Coeur_de_Montmartre-Paris_Ile_de_France.html,"29,187 reviews",#6 of 576 Sights & Landmarks in Paris,45 booking options
Arc de Triomphe,https://www.tripadvisor.com/Attraction_Review-g187147-d188709-Reviews-Arc_de_Triomphe-Paris_Ile_de_France.html,"35,186 reviews",#7 of 576 Sights & Landmarks in Paris,87 booking options
Pont Alexandre III,https://www.tripadvisor.com/Attraction_Review-g187147-d265614-Reviews-Pont_Alexandre_III-Paris_Ile_de_France.html,"14,294 reviews",#8 of 576 Sights & Landmarks in Paris,16 booking options
Ile Saint-Louis,https://www.tripadvisor.com/Attraction_Review-g187147-d209761-Reviews-Ile_Saint_Louis-Paris_Ile_de_France.html,"4,305 reviews",#14 of 576 Sights & Landmarks in Paris,11 booking options
Place des Vosges,https://www.tripadvisor.com/Attraction_Review-g187147-d188467-Reviews-Place_des_Vosges-Paris_Ile_de_France.html,"4,941 reviews",#15 of 576 Sights & Landmarks in Paris,11 booking options
Chapel of Our Lady of the Miraculous Medal,https://www.tripadvisor.com/Attraction_Review-g187147-d1759606-Reviews-Chapel_of_Our_Lady_of_the_Miraculous_Medal-Paris_Ile_de_France.html,"1,584 reviews",#18 of 576 Sights & Landmarks in Paris,
Pere-Lachaise Cemetery (Cimetiere du Pere-Lachaise),https://www.tripadvisor.com/Attraction_Review-g187147-d188698-Reviews-Pere_Lachaise_Cemetery_Cimetiere_du_Pere_Lachaise-Paris_Ile_de_France.html,"5,799 reviews",#19 of 576 Sights & Landmarks in Paris,4 booking options
Shakespeare and Company Bookstore,https://www.tripadvisor.com/Attraction_Review-g187147-d263032-Reviews-Shakespeare_and_Company_Bookstore-Paris_Ile_de_France.html,"3,436 reviews",#20 of 576 Sights & Landmarks in Paris,6 booking options
Champs-Elysees,https://www.tripadvisor.com/Attraction_Review-g187147-d209760-Reviews-Champs_Elysees-Paris_Ile_de_France.html,"16,053 reviews",#22 of 576 Sights & Landmarks in Paris,99 booking options
Luxembourg Palace,https://www.tripadvisor.com/Attraction_Review-g187147-d210197-Reviews-Luxembourg_Palace-Paris_Ile_de_France.html,"1,024 reviews",#25 of 576 Sights & Landmarks in Paris,2 booking options
Pantheon,https://www.tripadvisor.com/Attraction_Review-g187147-d189280-Reviews-Pantheon-Paris_Ile_de_France.html,"3,357 reviews",#26 of 576 Sights & Landmarks in Paris,18 booking options
Eglise Saint-Etienne-du-Mont de Paris,https://www.tripadvisor.com/Attraction_Review-g187147-d191146-Reviews-Eglise_Saint_Etienne_du_Mont_de_Paris-Paris_Ile_de_France.html,629 reviews,#27 of 576 Sights & Landmarks in Paris,1 booking option
La Madeleine,https://www.tripadvisor.com/Attraction_Review-g187147-d209790-Reviews-La_Madeleine-Paris_Ile_de_France.html,"1,892 reviews",#28 of 576 Sights & Landmarks in Paris,15 booking options
Hotel de Ville,https://www.tripadvisor.com/Attraction_Review-g187147-d208055-Reviews-Hotel_de_Ville-Paris_Ile_de_France.html,"1,275 reviews",#30 of 576 Sights & Landmarks in Paris,17 booking options
Place de la Concorde,https://www.tripadvisor.com/Attraction_Review-g187147-d189281-Reviews-Place_de_la_Concorde-Paris_Ile_de_France.html,"2,777 reviews",#33 of 576 Sights & Landmarks in Paris,62 booking options
Paroisse Saint-Eustache,https://www.tripadvisor.com/Attraction_Review-g187147-d191149-Reviews-Paroisse_Saint_Eustache-Paris_Ile_de_France.html,492 reviews,#34 of 576 Sights & Landmarks in Paris,2 booking options
Rue Montorgueil,https://www.tripadvisor.com/Attraction_Review-g187147-d208054-Reviews-Rue_Montorgueil-Paris_Ile_de_France.html,592 reviews,#35 of 576 Sights & Landmarks in Paris,2 booking options
Place Vendome,https://www.tripadvisor.com/Attraction_Review-g187147-d189189-Reviews-Place_Vendome-Paris_Ile_de_France.html,895 reviews,#39 of 576 Sights & Landmarks in Paris,25 booking options
Arc de Triomphe du Carrousel,https://www.tripadvisor.com/Attraction_Review-g187147-d2195794-Reviews-Arc_de_Triomphe_du_Carrousel-Paris_Ile_de_France.html,521 reviews,#45 of 576 Sights & Landmarks in Paris,1 booking option
Rue Cler,https://www.tripadvisor.com/Attraction_Review-g187147-d190512-Reviews-Rue_Cler-Paris_Ile_de_France.html,582 reviews,#50 of 576 Sights & Landmarks in Paris,
Canal Saint-Martin,https://www.tripadvisor.com/Attraction_Review-g187147-d188461-Reviews-Canal_Saint_Martin-Paris_Ile_de_France.html,"1,140 reviews",#51 of 576 Sights & Landmarks in Paris,1 booking option
Le Mur des Je t'aime,https://www.tripadvisor.com/Attraction_Review-g187147-d2161438-Reviews-Le_Mur_des_Je_t_aime-Paris_Ile_de_France.html,485 reviews,#53 of 576 Sights & Landmarks in Paris,1 booking option
Esplanade des Invalides,https://www.tripadvisor.com/Attraction_Review-g187147-d8545769-Reviews-Esplanade_des_Invalides-Paris_Ile_de_France.html,192 reviews,#54 of 576 Sights & Landmarks in Paris,4 booking options
